file,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35
scraping/player_tables/LambBr00/table_4.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Def Interceptions,Def Interceptions.1,Def Interceptions.2,Def Interceptions.3,Def Interceptions.4,Fumbles,Fumbles.1,Fumbles.2,Fumbles.3,Fumbles.4,Unnamed: 16_level_0,Unnamed: 17_level_0,,,,,,,,,,,,,,,,,
scraping/player_tables/HardBr00/table_4.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,
scraping/player_tables/BrouSt00/table_3.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Y/A,AY/A,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,
scraping/player_tables/BrouSt00/table_0.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,
scraping/player_tables/SermTr00/table_1.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,
scraping/player_tables/SermTr00/table_0.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,,,,,,,,,,,,
scraping/player_tables/BankBr00/table_3.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,
scraping/player_tables/BankBr00/table_1.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,,
scraping/player_tables/BankBr00/table_0.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Punt Returns,Punt Returns.1,Punt Returns.2,Punt Returns.3,Punt Returns.4,Kick Returns,Kick Returns.1,Kick Returns.2,Kick Returns.3,Kick Returns.4,Unnamed: 17_level_0,Unnamed: 18_level_0,,,,,,,,,,,,,,,,
scraping/player_tables/OwenJa00/table_1.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 23_level_0,Unnamed: 24_level_0,,,,,,,,,,
scraping/player_tables/HassTi00/table_2.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,,
scraping/player_tables/HassTi00/table_1.csv,Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,AV,,,,,,,,,,,,,,,,
scraping/player_tables/HassTi00/table_0.csv,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,
scraping/player_tables/PeteNa00/table_1.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,,,,
scraping/player_tables/PeteNa00/table_6.csv,Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,,,,,,,,,,,,,,,,,
scraping/player_tables/PeteNa00/table_8.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,,,
scraping/player_tables/HestDe99/table_6.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Yds,TD,Int,1D,Y/G,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,,,,,,,,
scraping/player_tables/OtisJi00/table_0.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,,,,,,,
scraping/player_tables/MajkDo00/table_2.csv,Year,Age,Tm,Pos,No.,G,GS,QBrec,Att,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,AV,Awards,,,,,,,,,,,,,,,
scraping/player_tables/MajkDo00/table_3.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Rushing.7,Rushing.8,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Receiving.10,Receiving.11,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 31_level_0,Unnamed: 32_level_0,,
scraping/player_tables/MajkDo00/table_0.csv,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,
scraping/player_tables/SimmPh00/table_3.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 27_level_0,Unnamed: 28_level_0,,,,,,
scraping/player_tables/SimmPh00/table_1.csv,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,,,,,
scraping/player_tables/SimmPh00/table_0.csv,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards,,,,
scraping/player_tables/SimmPh00/table_4.csv,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Games,Games.1,Rushing,Rushing.1,Rushing.2,Rushing.3,Rushing.4,Rushing.5,Rushing.6,Receiving,Receiving.1,Receiving.2,Receiving.3,Receiving.4,Receiving.5,Receiving.6,Receiving.7,Receiving.8,Receiving.9,Total Yds,Total Yds.1,Total Yds.2,Unnamed: 26_level_0,Unnamed: 27_level_0,,,,,,,
scraping/player_tables/EvanVi00/table_1.csv,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,Awards,,,,,,
